Initial_block_ID,block_category_str,N,n,m,I,B,p1,weight_cluster,p2,weight_msme,Cluster_number,w
2421,Strata 2: Low probability,38017,79,9,1,15,0.018549392868037362,53.91012024566635,0.06666666666666667,808.6518036849953,4,653.1749462
2713,Strata 1: High probability,38017,79,4,14,77,0.008286523784897692,120.67786516494579,0.18181818181818182,663.7282584072019,5,535.44765711957
2714,Strata 1: High probability,38017,79,5,2,47,0.010347538822432112,96.6413383085967,0.0425531914893617,2271.0714502520223,6,1832.59258901117
2929,Strata 2: Low probability,38017,79,7,4,67,0.0144568899574955,69.1711704896479,0.05970149253731343,1158.6171057016027,7,935.387664297353
3628,Strata 2: Low probability,38017,79,6,13,69,0.012404324690853397,80.61704485511993,0.18840579710144928,427.89046884640584,9,345.363204667821
3993,Strata 2: Low probability,38017,79,1,0,4,0.002078017729090109,481.22784805972987,0,Inf,NA,NA
4065,Strata 1: High probability,38017,79,10,11,111,0.02058934756086417,48.568804671634204,0.0990990990990991,490.10339259558157,10,395.971262802977
4297,Strata 2: Low probability,38017,79,1,0,1,0.002078017729090109,481.22784805972987,0,Inf,NA,NA
4526,Strata 2: Low probability,38017,79,9,2,58,0.018549392868037362,53.91012024566635,0.034482758620689655,1563.393487124324,14,1262.80489607747
5884,Strata 2: Low probability,38017,79,6,11,63,0.012404324690853397,80.61704485511993,0.1746031746031746,461.71580235205056,16,372.664643771997
6043,Strata 2: Low probability,38017,79,7,5,40,0.0144568899574955,69.1711704896479,0.125,553.3693639171833,17,446.752317276348
6558,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
7225,Strata 1: High probability,38017,79,1,3,5,0.002078017729090109,481.22784805972987,0.6,802.0464134328831,20,646.547655346652
7282,Strata 2: Low probability,38017,79,1,0,4,0.002078017729090109,481.22784805972987,0,Inf,NA,NA
7693,Strata 2: Low probability,38017,79,3,29,54,0.006221270993977179,160.73885882291597,0.5370370370370371,299.30684056680906,22,241.398671412344
8163,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
8428,Strata 2: Low probability,38017,79,7,2,6,0.0144568899574955,69.1711704896479,0.3333333333333333,207.51351146894376,24,167.53211897863
8447,Strata 2: Low probability,38017,79,9,10,135,0.018549392868037362,53.91012024566635,0.07407407407407407,727.7866233164957,25,587.857451622271
9372,Strata 2: Low probability,38017,79,16,15,229,0.03274145540034834,30.54231975251048,0.06550218340611354,466.27941488832664,27,377.284078221435
9650,Strata 1: High probability,38017,79,4,10,37,0.008286523784897692,120.67786516494579,0.2702702702702703,446.50810111029944,28,360.210242062256
10640,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
10921,Strata 2: Low probability,38017,79,1,0,1,0.002078017729090109,481.22784805972987,0,Inf,NA,NA
11189,Strata 2: Low probability,38017,79,1,0,3,0.002078017729090109,481.22784805972987,0,Inf,NA,NA
12208,Strata 2: Low probability,38017,79,10,48,141,0.02058934756086417,48.568804671634204,0.3404255319148936,142.67086372292547,33,115.268661525416
13790,Strata 1: High probability,38017,79,9,16,248,0.018549392868037362,53.91012024566635,0.06451612903225806,835.6068638078285,34,674.9474444552
13985,Strata 1: High probability,38017,79,1,4,13,0.002078017729090109,481.22784805972987,0.3076923076923077,1563.9905061941222,35,1260.76792792597
14374,Strata 2: Low probability,38017,79,1,11,19,0.002078017729090109,481.22784805972987,0.5789473684210527,831.2117375577152,38,670.058479177439
15363,Strata 1: High probability,38017,79,8,10,48,0.016505243172225126,60.58680805641149,0.20833333333333334,290.81667867077516,40,234.843839121402
15803,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
16026,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
16034,Strata 1: High probability,38017,79,6,14,45,0.012404324690853397,80.61704485511993,0.3111111111111111,259.12621560574263,44,209.148524565916
16613,Strata 2: Low probability,38017,79,9,13,115,0.018549392868037362,53.91012024566635,0.11304347826086956,476.89721755781767,47,385.205737530263
16622,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
16856,Strata 1: High probability,38017,79,5,58,95,0.010347538822432112,96.6413383085967,0.6105263157894737,158.29184722959803,48,127.730224472532
17049,Strata 1: High probability,38017,79,9,14,128,0.018549392868037362,53.91012024566635,0.109375,492.89252796037806,50,398.125681521961
17418,Strata 1: High probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
18262,Strata 1: High probability,38017,79,7,12,84,0.0144568899574955,69.1711704896479,0.14285714285714285,484.19819342753544,52,390.908277616804
18364,Strata 2: Low probability,38017,79,2,1,3,0.004151771848312835,240.8610194720532,0.3333333333333333,722.5830584161596,53,582.636160614145
19194,Strata 1: High probability,38017,79,14,24,211,0.02870738602342393,34.83424088783441,0.11374407582938388,306.2510344722109,54,247.67644281975
20881,Strata 2: Low probability,38017,79,17,4,82,0.03475228208972758,28.775088709802738,0.04878048780487805,589.8893185509561,55,477.419545956778
20997,Strata 1: High probability,38017,79,8,0,25,0.016505243172225126,60.58680805641149,0,Inf,NA,NA
21262,Strata 1: High probability,38017,79,6,14,36,0.012404324690853397,80.61704485511993,0.3888888888888889,207.3009724845941,57,167.318819652733
21795,Strata 1: High probability,38017,79,12,8,231,0.02465670591573199,40.55691800103593,0.03463203463203463,1171.0810072799125,60,946.62646260755
22442,Strata 2: Low probability,38017,79,1,2,2,0.002078017729090109,481.22784805972987,1,481.22784805972987,61,387.928593207991
23017,Strata 1: High probability,38017,79,7,20,47,0.0144568899574955,69.1711704896479,0.425531914893617,162.5522506506726,62,131.233493199927
23189,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
23529,Strata 2: Low probability,38017,79,1,9,36,0.002078017729090109,481.22784805972987,0.25,1924.9113922389195,65,1551.71437283196
23825,Strata 2: Low probability,38017,79,9,19,178,0.018549392868037362,53.91012024566635,0.10674157303370786,505.0527054594006,66,407.947861164773
24761,Strata 1: High probability,38017,79,1,16,46,0.002078017729090109,481.22784805972987,0.34782608695652173,1383.5300631717234,69,1115.29470547297
24770,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
24908,Strata 2: Low probability,38017,79,1,0,1,0.002078017729090109,481.22784805972987,0,Inf,NA,NA
25108,Strata 1: High probability,38017,79,9,12,100,0.018549392868037362,53.91012024566635,0.12,449.25100204721963,71,362.874970137204
25317,Strata 2: Low probability,38017,79,8,0,58,0.016505243172225126,60.58680805641149,0,Inf,NA,NA
26417,Strata 2: Low probability,38017,79,5,2,14,0.010347538822432112,96.6413383085967,0.14285714285714285,676.4893681601769,12,545.878643535241
27939,Strata 2: Low probability,38017,79,1,0,1,0.002078017729090109,481.22784805972987,0,Inf,NA,NA
28115,Strata 2: Low probability,38017,79,9,9,37,0.018549392868037362,53.91012024566635,0.24324324324324326,221.63049434329497,36,179.018318601021
28560,Strata 2: Low probability,38017,79,13,3,53,0.026684126524405327,37.47546314043291,0.05660377358490566,662.0665154809814,42,535.304741515278
28904,Strata 2: Low probability,38017,79,9,12,167,0.018549392868037362,53.91012024566635,0.0718562874251497,750.2491734188567,58,606.001200129131
29511,Strata 2: Low probability,38017,79,8,4,25,0.016505243172225126,60.58680805641149,0.16,378.66755035257177,74,305.786248855992
29517,Strata 2: Low probability,38017,79,7,1,9,0.0144568899574955,69.1711704896479,0.1111111111111111,622.5405344068313,75,502.596356935891
29532,Strata 2: Low probability,38017,79,10,1,39,0.02058934756086417,48.568804671634204,0.02564102564102564,1894.1833821937341,76,1530.3754211034
29666,Strata 2: Low probability,38017,79,5,1,7,0.010347538822432112,96.6413383085967,0.14285714285714285,676.4893681601769,77,545.878643535241
30206,Strata 1: High probability,38017,79,8,39,169,0.016505243172225126,60.58680805641149,0.23076923076923078,262.5428349111164,78,212.011799206821
30233,Strata 1: High probability,38017,79,2,22,37,0.004151771848312835,240.8610194720532,0.5945945945945946,405.08444183936217,79,326.629362768536
30240,Strata 1: High probability,38017,79,4,40,145,0.008286523784897692,120.67786516494579,0.27586206896551724,437.4572612229285,80,352.908683101535
30498,Strata 1: High probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
30554,Strata 2: Low probability,38017,79,20,10,141,0.04076003067823186,24.533838256752244,0.07092198581560284,345.9271194202066,82,280.179310784728
31522,Strata 2: Low probability,38017,79,8,2,38,0.016505243172225126,60.58680805641149,0.05263157894736842,1151.1493530718183,83,929.590196522217
31774,Strata 2: Low probability,38017,79,9,50,152,0.018549392868037362,53.91012024566635,0.32894736842105265,163.88676554682567,85,132.376789106052
32358,Strata 1: High probability,38017,79,3,5,27,0.006221270993977179,160.73885882291597,0.18518518518518517,867.9898376437463,86,700.056147095798
32877,Strata 2: Low probability,38017,79,9,9,57,0.018549392868037362,53.91012024566635,0.15789473684210525,341.43076155588693,87,275.784977304275
33378,Strata 2: Low probability,38017,79,9,1,10,0.018549392868037362,53.91012024566635,0.1,539.1012024566635,88,435.449964164645
33995,Strata 2: Low probability,38017,79,5,1,6,0.010347538822432112,96.6413383085967,0.16666666666666666,579.8480298515801,89,467.895980173064
34004,Strata 1: High probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
35052,Strata 2: Low probability,38017,79,6,37,100,0.012404324690853397,80.61704485511993,0.37,217.88390501383768,93,175.860621256626
