Initial_block_ID,Cluster_number,w
5884,16,372.664643771997
16856,48,127.730224472532
7693,22,241.398671412344
9650,28,360.210242062256
21262,57,167.318819652733
35074,94,581.892889811987
4065,10,395.971262802977
19194,54,247.67644281975
21795,60,946.62646260755
23017,62,131.233493199927
18364,53,582.636160614145
7225,20,646.547655346652
30240,80,352.908683101535
32358,86,700.056147095798
26417,12,545.878643535241
18262,52,390.908277616804
9372,27,377.284078221435
30206,78,212.011799206821
8447,25,587.857451622271
35556,95,137.762529104402
20881,55,477.419545956778
32877,87,275.784977304275
3628,9,345.363204667821
6043,17,446.752317276348
12208,33,115.268661525416
24761,69,1115.29470547297
35052,93,175.860621256626
36457,96,225.551171003981
13790,34,674.9474444552
30554,82,280.179310784728
31774,85,132.376789106052
28115,36,179.018318601021
25108,71,362.874970137204
36713,97,637.670612676527
2713,5,535.44765711957
30233,79,326.629362768536
29517,75,502.596356935891
28904,58,606.001200129131
28560,42,535.304741515278
15363,40,234.843839121402
17049,50,398.125681521961
23529,65,1551.71437283196
13985,35,1260.76792792597
31522,83,929.590196522217
4526,14,1262.80489607747
16034,44,209.148524565916
23825,66,407.947861164773
2714,6,1832.59258901117
29532,76,1530.3754211034
2929,7,935.387664297353
29511,74,305.786248855992
16613,47,385.205737530263
22442,61,387.928593207991
29666,77,545.878643535241
14374,38,670.058479177439
8428,24,167.53211897863
2421,4,653.1749462
33995,89,467.895980173064
33378,88,435.449964164645
