Initial_block_ID,block_category_str,N,n,m,I,B,p1,weight_cluster,p2,weight_msme,Cluster_number,w
352,Strata 2: Low probability,15842,98,1,4,7,0.006186087615073443,161.65306122779958,0.5714285714285714,282.8928571486493,1,479.299466854662
477,Strata 2: Low probability,15842,98,2,2,11,0.012334295645872517,81.07475519565924,0.18181818181818182,445.9111535761258,2,754.548107312106
507,Strata 2: Low probability,15842,98,3,8,23,0.01844485366510029,54.215664605250346,0.34782608695652173,155.87003574009475,3,263.424212395965
619,Strata 2: Low probability,15842,98,3,10,20,0.01844485366510029,54.215664605250346,0.5,108.43132921050069,4,183.251626014584
737,Strata 2: Low probability,15842,98,5,0,42,0.030553931086528596,32.72901274693605,0,Inf,NA,NA
764,Strata 2: Low probability,15842,98,3,5,16,0.01844485366510029,54.215664605250346,0.3125,173.4901267368011,6,293.202601623335
803,Strata 2: Low probability,15842,98,1,11,11,0.006186087615073443,161.65306122779958,1,161.65306122779958,7,273.885409631235
851,Strata 2: Low probability,15842,98,4,10,20,0.024517989869625834,40.786377893028344,0.5,81.57275578605669,8,137.687185728999
914,Strata 2: Low probability,15842,98,1,1,6,0.006186087615073443,161.65306122779958,0.16666666666666666,969.9183673667976,9,1643.31245778741
1172,Strata 2: Low probability,15842,98,1,0,1,0.006186087615073443,161.65306122779958,0,Inf,NA,NA
1180,Strata 1: High probability,15842,98,5,5,20,0.030553931086528596,32.72901274693605,0.25,130.9160509877442,11,275.374371457997
1337,Strata 1: High probability,15842,98,4,9,19,0.024517989869625834,40.786377893028344,0.47368421052631576,86.10457555194874,12,145.336473825054
1646,Strata 2: Low probability,15842,98,2,4,7,0.012334295645872517,81.07475519565924,0.5714285714285714,141.8808215924037,13,240.083488690216
1795,Strata 1: High probability,15842,98,4,9,18,0.024517989869625834,40.786377893028344,0.5,81.57275578605669,14,137.687185728999
1846,Strata 2: Low probability,15842,98,5,8,15,0.030553931086528596,32.72901274693605,0.5333333333333333,61.36689890050509,15,103.451963032724
1988,Strata 2: Low probability,15842,98,1,0,2,0.006186087615073443,161.65306122779958,0,Inf,NA,NA
2113,Strata 1: High probability,15842,98,7,21,39,0.04251512907257893,23.521038788165697,0.5384615384615384,43.68192917802201,17,73.4549883172384
2367,Strata 2: Low probability,15842,98,3,7,15,0.01844485366510029,54.215664605250346,0.4666666666666667,116.17642415410788,18,196.341027872769
2377,Strata 2: Low probability,15842,98,1,12,16,0.006186087615073443,161.65306122779958,0.75,215.53741497039942,19,365.18054617498
2510,Strata 1: High probability,15842,98,1,0,29,0.006186087615073443,161.65306122779958,0,Inf,NA,NA
2953,Strata 2: Low probability,15842,98,1,0,1,0.006186087615073443,161.65306122779958,0,Inf,NA,NA
3036,Strata 2: Low probability,15842,98,2,8,14,0.012334295645872517,81.07475519565924,0.5714285714285714,141.8808215924037,22,240.083488690216
3143,Strata 1: High probability,15842,98,5,8,40,0.030553931086528596,32.72901274693605,0.2,163.64506373468024,23,275.871901420597
3145,Strata 1: High probability,15842,98,2,4,8,0.012334295645872517,81.07475519565924,0.5,162.14951039131847,24,274.381129931675
3540,Strata 1: High probability,15842,98,2,9,30,0.012334295645872517,81.07475519565924,0.3,270.2491839855308,25,457.301883219458
3960,Strata 1: High probability,15842,98,2,5,17,0.012334295645872517,81.07475519565924,0.29411764705882354,275.6541676652414,26,466.447920883847
4143,Strata 2: Low probability,15842,98,4,10,19,0.024517989869625834,40.786377893028344,0.5263157894736842,77.49411799675386,27,130.802826442549
4441,Strata 1: High probability,15842,98,3,8,25,0.01844485366510029,54.215664605250346,0.32,169.42395189140734,28,286.330665647788
