Initial_block_ID,Cluster_number,w
3554,1,2914.69399651812
3615,2,359.128462476536
4874,3,417.825343273221
6501,4,190.449091820009
10275,5,224.400728342322
14270,9,79.7706038517715
14653,10,72.4825935357888
16307,11,139.949625644936
16576,12,56.7700471934077
16892,13,43.7522853291739
17048,14,79.2316708595268
17666,15,59.646287636888
20196,16,42.3403392682997
21182,17,66.3780763117324
23279,19,45.4885018458012
23733,20,35.6580048759415
26333,21,32.6836757813629
26587,22,38.9760690636209
27812,23,34.3805555906408
29296,25,35.8137587736426
