Initial_block_ID,block_category_str,N,n,m,I,B,p1,weight_cluster,p2,weight_msme,Cluster_number,w
580,Strata 2: Low probability,9282,99,1,14,36,0.010665804783583144,93.75757575642156,0.3888888888888889,241.09090908794116,1,238.680004105296
638,Strata 2: Low probability,9282,99,1,0,4,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
789,Strata 1: High probability,9282,99,1,3,14,0.010665804783583144,93.75757575642156,0.21428571428571427,437.53535352996727,2,433.160007450352
989,Strata 2: Low probability,9282,99,1,0,6,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
1722,Strata 1: High probability,9282,99,1,0,8,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
1781,Strata 1: High probability,9282,99,1,0,4,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
1787,Strata 1: High probability,9282,99,1,12,44,0.010665804783583144,93.75757575642156,0.2727272727272727,343.7777777735457,3,340.340005853848
1818,Strata 1: High probability,9282,99,1,0,3,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
1865,Strata 1: High probability,9282,99,1,0,5,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
1907,Strata 1: High probability,9282,99,1,0,9,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
1994,Strata 1: High probability,9282,99,1,0,4,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
2213,Strata 1: High probability,9282,99,1,0,8,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
2408,Strata 2: Low probability,9282,99,1,0,2,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
2552,Strata 1: High probability,9282,99,1,0,4,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
2587,Strata 1: High probability,9282,99,1,4,17,0.010665804783583144,93.75757575642156,0.23529411764705882,398.4696969647916,4,394.485006785142
2717,Strata 1: High probability,9282,99,1,4,11,0.010665804783583144,93.75757575642156,0.36363636363636365,257.83333333015923,5,255.255004390386
3077,Strata 1: High probability,9282,99,2,21,60,0.02121898712665038,47.12760293558176,0.35,134.65029410166218,24,133.311008183163
3127,Strata 2: Low probability,9282,99,1,0,8,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
3465,Strata 1: High probability,9282,99,1,14,15,0.010665804783583144,93.75757575642156,0.9333333333333333,100.4545454533088,26,99.45000171054
3573,Strata 2: Low probability,9282,99,1,14,34,0.010665804783583144,93.75757575642156,0.4117647058823529,227.69696969416665,6,225.420003877224
3813,Strata 1: High probability,9282,99,4,23,55,0.04199218109573255,23.813957120260774,0.41818181818181815,56.946419200623595,27,56.3860803722679
3815,Strata 1: High probability,9282,99,3,21,68,0.03166072422509181,31.584874461193735,0.3088235294117647,102.27483158862732,28,101.263037485775
4057,Strata 1: High probability,9282,99,1,0,4,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
4184,Strata 2: Low probability,9282,99,1,7,18,0.010665804783583144,93.75757575642156,0.3888888888888889,241.09090908794116,7,238.680004105296
4197,Strata 1: High probability,9282,99,2,20,40,0.02121898712665038,47.12760293558176,0.5,94.25520587116353,30,93.3177057282141
5000,Strata 1: High probability,9282,99,1,1,8,0.010665804783583144,93.75757575642156,0.125,750.0606060513725,8,742.560012772032
5157,Strata 1: High probability,9282,99,1,13,33,0.010665804783583144,93.75757575642156,0.3939393939393939,237.9999999970701,9,235.620004052664
5320,Strata 1: High probability,9282,99,1,0,1,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
5726,Strata 2: Low probability,9282,99,1,0,24,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
5814,Strata 1: High probability,9282,99,3,34,74,0.03166072422509181,31.584874461193735,0.4594594594594595,68.74355029789224,33,68.0634776180336
5826,Strata 1: High probability,9282,99,1,9,23,0.010665804783583144,93.75757575642156,0.391304347826087,239.60269359974396,34,237.206670746621
5978,Strata 2: Low probability,9282,99,2,15,40,0.02121898712665038,47.12760293558176,0.375,125.67360782821802,35,124.423607637619
6128,Strata 2: Low probability,9282,99,1,0,7,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
7072,Strata 1: High probability,9282,99,1,14,39,0.010665804783583144,93.75757575642156,0.358974358974359,261.1818181786029,37,258.570004447404
7176,Strata 2: Low probability,9282,99,1,3,7,0.010665804783583144,93.75757575642156,0.42857142857142855,218.76767676498363,10,216.580003725176
7273,Strata 2: Low probability,9282,99,1,0,3,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
7314,Strata 1: High probability,9282,99,6,48,123,0.06232885406995592,16.04393366317359,0.3902439024390244,41.11258001188232,39,40.7124010847531
7405,Strata 2: Low probability,9282,99,1,13,15,0.010665804783583144,93.75757575642156,0.8666666666666667,108.18181818048642,40,107.10000184212
7575,Strata 1: High probability,9282,99,4,13,46,0.04199218109573255,23.813957120260774,0.2826086956521739,84.26477134861504,41,83.4356266207824
7596,Strata 1: High probability,9282,99,2,27,73,0.02121898712665038,47.12760293558176,0.3698630136986301,127.41907460360996,42,126.151713299252
7602,Strata 1: High probability,9282,99,8,44,115,0.08223808730546667,12.159815880512658,0.3826086956521739,31.78133696043081,43,31.4753284551793
7610,Strata 2: Low probability,9282,99,1,0,7,0.010665804783583144,93.75757575642156,0,Inf,NA,NA
7638,Strata 2: Low probability,9282,99,4,33,78,0.04199218109573255,23.813957120260774,0.4230769230769231,56.28753501152546,45,55.7336794423408
7654,Strata 1: High probability,9282,99,4,23,53,0.04199218109573255,23.813957120260774,0.4339622641509434,54.87564032060091,46,54.33567744964
7658,Strata 2: Low probability,9282,99,7,66,186,0.072336340426847,13.824310078435468,0.3548387096774194,38.9594193119545,47,38.5822501636261
7802,Strata 2: Low probability,9282,99,3,37,91,0.03166072422509181,31.584874461193735,0.4065934065934066,77.68171826942243,48,76.9132212382016
7964,Strata 2: Low probability,9282,99,16,40,140,0.1577757819215626,6.338108344772106,0.2857142857142857,22.183379206702373,49,21.9789563424454
7978,Strata 1: High probability,9282,99,1,8,20,0.010665804783583144,93.75757575642156,0.4,234.39393939105386,11,232.05000399126
8106,Strata 2: Low probability,9282,99,1,12,38,0.010665804783583144,93.75757575642156,0.3157894736842105,296.8989898953349,50,293.930005055596
8404,Strata 1: High probability,9282,99,2,14,38,0.02121898712665038,47.12760293558176,0.3684210526315789,127.91777939657906,51,126.645457774005
8436,Strata 1: High probability,9282,99,4,31,77,0.04199218109573255,23.813957120260774,0.4025974025974026,59.15079671806708,52,58.5687673544202
8477,Strata 1: High probability,9282,99,2,22,36,0.02121898712665038,47.12760293558176,0.6111111111111112,77.11789571277015,53,76.350850141266
8575,Strata 1: High probability,9282,99,6,46,109,0.06232885406995592,16.04393366317359,0.42201834862385323,38.01714715838959,54,37.6470983519668
8746,Strata 1: High probability,9282,99,5,30,98,0.05221451070027672,19.151764262241766,0.30612244897959184,62.56242992332311,55,61.9501489679832
8749,Strata 1: High probability,9282,99,3,27,86,0.03166072422509181,31.584874461193735,0.313953488372093,100.60367420972818,56,99.6084126902554
