Initial_block_ID,Cluster_number,w
580,1,238.680004105296
789,2,433.160007450352
1787,3,340.340005853848
2587,4,394.485006785142
2717,5,255.255004390386
3573,6,225.420003877224
4184,7,238.680004105296
5000,8,742.560012772032
5157,9,235.620004052664
7176,10,216.580003725176
7978,11,232.05000399126
9171,12,1113.84001915805
3077,24,133.311008183163
3465,26,99.45000171054
3813,27,56.3860803722679
3815,28,101.263037485775
4197,30,93.3177057282141
5814,33,68.0634776180336
5826,34,237.206670746621
5978,35,124.423607637619
7072,37,258.570004447404
7314,39,40.7124010847531
7405,40,107.10000184212
7575,41,83.4356266207824
7596,42,126.151713299252
7602,43,31.4753284551793
7638,45,55.7336794423408
7654,46,54.33567744964
7658,47,38.5822501636261
7802,48,76.9132212382016
7964,49,21.9789563424454
8106,50,293.930005055596
8404,51,126.645457774005
8436,52,58.5687673544202
8477,53,76.350850141266
8575,54,37.6470983519668
8746,55,61.9501489679832
8749,56,99.6084126902554
9044,57,293.930005055596
9224,58,70.7389008306633
